# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"4"	"t10000aep"	3	3	3	6	2	7
"5"	"t10001aep"	3	2	4	3	4	3.99
"6"	"t10002aep"	3	6	2	0	2	7
"7"	"t10003aep"	7	6	4	7	3	3
"8"	"t10004aep"	0	0	0	0	0	0
"9"	"t10005aep"	0	0	1	2	2	1
"10"	"t10006aep"	0	0	0	0	0	0
"11"	"t10007aep"	1	1	0	2	0	2
"12"	"t10008aep"	28	9	10	25	19.02	16.98
"13"	"t10009aep"	419.7	502.28	472	409	392	461.85
"14"	"t1000aep"	13.6	11.79	5.78	11.44	9.36	8.3
"15"	"t10010aep"	29	40	22	31	28	35
"16"	"t10011aep"	944	1327.09	1105.15	1123.94	1226.91	1362.02
"17"	"t10012aep"	903.81	658.01	438	1240.98	649.99	572
"18"	"t10013aep"	0	0	0	0	0	0
"19"	"t10014aep"	0	0	0	0	0	0
"20"	"t10015aep"	0	0	0	0	0	0
"21"	"t10016aep"	4	1.26	2	1.34	4.22	4.29
"22"	"t10017aep"	8.99	3	5	13	3	5
"23"	"t10018aep"	0	0	0	0	0	0
"24"	"t10019aep"	22	11.01	10	20.76	19	27.9
"25"	"t1001aep"	9.07	4.16	6	21.64	13.43	7.75
"26"	"t10020aep"	14	15	13	18	17	14
"27"	"t10021aep"	2592.18	3323	2606	2874	3364	3353.09
"28"	"t10022aep"	127	147	126	153.02	130	136.07
"29"	"t10023aep"	109	126	108	134	109	150
"30"	"t10024aep"	9	10	10	13	12	19
"31"	"t10025aep"	193	266	219	310.98	267	264
"32"	"t10026aep"	709.03	887.65	852.79	772.24	856.93	894.19
"33"	"t10027aep"	1018	1421.99	1308	1238.63	1341	1252
"34"	"t10028aep"	232	126	100	354	275	142
"35"	"t10029aep"	0	0	0	0	0	0
"36"	"t1002aep"	17.93	16.82	12.16	61.44	40.44	15.72
"37"	"t10030aep"	2316	1810	1495.98	2969.06	1990.39	2551.39
"38"	"t10031aep"	8	3	4	10	4	5
"39"	"t10032aep"	28	33	33	64	50	23
"40"	"t10033aep"	3	3	5	4	3	4
"41"	"t10034aep"	0	0	0	0	0	0
"42"	"t10035aep"	211	284.59	281	296.21	289.89	260.01
"43"	"t10036aep"	75.96	69	43	96	68	67
"44"	"t10037aep"	859.07	1257.99	1112.33	1176	1322.97	1169.7
"45"	"t10038aep"	0	0	0	0	0	0
"46"	"t10039aep"	38	40.78	23	39	38.89	42.47
"47"	"t1003aep"	0	3	1	7	4	4
"48"	"t10040aep"	288	313	348	365.02	358.81	367.91
"49"	"t10041aep"	20	29	11	38	28	28
"50"	"t10042aep"	1	2	5	5	1	1
"51"	"t10043aep"	0	0	0	0	0	0
"52"	"t10044aep"	1022.38	1286.93	1114.79	1257	1176	1140.06
"53"	"t10045aep"	0	0	0	0	0	0
"54"	"t10046aep"	0	0	0	0	0	0
"55"	"t10047aep"	153	229	188.01	228	223	212.97
"56"	"t10048aep"	4.92	2	0	7.48	1	4
"57"	"t10049aep"	4	6	4	5	5	6
"58"	"t1004aep"	11.37	8	3.2	25.27	11.32	11.99
"59"	"t10050aep"	654.07	774.44	642.01	779.17	725.43	840.02
"60"	"t10051aep"	910	646	729	1290	874	842
"61"	"t10052aep"	0	0	0	0	0	0
"62"	"t10053aep"	49.95	35	47	42	48.01	34.02
"63"	"t10054aep"	15	11	13	25	21	20
"64"	"t10055aep"	2.05	0	0	6.13	0	3.09
"65"	"t10056aep"	7.95	10	6	19.87	10	13.91
"66"	"t10057aep"	2	6	2	7	3	3
"67"	"t10058aep"	0	0	0	0	0	0
"68"	"t10059aep"	0	0	0	0	0	0
"69"	"t1005aep"	7.29	0	9.26	10.79	12.34	10.31
"70"	"t10060aep"	591	973	951.89	596.98	814	855
"71"	"t10061aep"	3523.99	3555.1	2637.01	4560.35	3591.54	3932.11
"72"	"t10062aep"	7	16	7	9	18	11
"73"	"t10063aep"	3.03	3	2	2	0	2
"74"	"t10064aep"	19.3	25.5	27.31	37.28	31.02	24.04
"75"	"t10065aep"	14.99	37.04	21.99	38.23	30.99	29.08
"76"	"t10066aep"	1	2	0	3	3	2
"77"	"t10067aep"	503.79	679	547	530.95	562	646
"78"	"t10068aep"	15	25	18	14	20	18
"79"	"t10069aep"	0	0	0	0	0	0
"80"	"t1006aep"	9.81	19.06	9.72	8.91	11.8	10.21
"81"	"t10070aep"	634	561.79	507.51	665.11	515.74	524
"82"	"t10071aep"	0	0	0	0	0	0
"83"	"t10072aep"	0	0	0	0	0	0
"84"	"t10073aep"	0	0	0	0	0	0
"85"	"t10074aep"	3.02	7	1.01	6.08	4	3
"86"	"t10075aep"	0	0	0	0	0	0
"87"	"t10076aep"	34	90	83.13	50	68	70
"88"	"t10077aep"	6	2	2	7	2	3
"89"	"t10078aep"	481	617.35	535	563.01	603.11	595
"90"	"t10079aep"	3.01	3.01	4.02	7.01	5.03	5.04
"91"	"t1007aep"	187	264	190.97	312	260.88	265
"92"	"t10080aep"	0	0	0	0	0	0
"93"	"t10081aep"	0	0	0	0	0	0
"94"	"t10082aep"	0	0	0	0	0	0
"95"	"t10083aep"	0	1	2	2	0	1
"96"	"t10084aep"	287	598.29	530	370	489	473
"97"	"t10085aep"	0	0	0	0	0	0
"98"	"t10086aep"	0	0	0	0	0	0
"99"	"t10087aep"	136	118	106	117	127	119
"100"	"t10088aep"	59	91	97	68	97	65
"101"	"t10089aep"	0	0	0	0	0	0
"102"	"t1008aep"	59.57	97.25	42.88	115.47	89.02	90.36
"103"	"t10090aep"	5	8	4	12	6	6
"104"	"t10091aep"	0	0	0	0	0	0
"105"	"t10092aep"	0	0	0	0	0	0
"106"	"t10093aep"	0	0	0	1	1	0
"107"	"t10094aep"	0	0	0	0	0	0
"108"	"t10095aep"	0	0	0	0	0	0
"109"	"t10096aep"	325	540	430	418	465	447
"110"	"t10097aep"	0	0	0	0	0	0
"111"	"t10098aep"	0	0	0	0	0	0
"112"	"t10099aep"	477.99	704.21	627	583	722.01	654
"113"	"t1009aep"	214.35	311.46	349.12	295.84	299.83	323.88
"114"	"t100aep"	0	0	0	0	0	0
"115"	"t10100aep"	240	318	355	319.89	281	305
"116"	"t10101aep"	0	1	0	1.07	0	0
"117"	"t10102aep"	416.86	567	599	585.92	566.94	535.37
"118"	"t10103aep"	0	0	0	0	0	0
"119"	"t10104aep"	0	0	0	0	0	0
"120"	"t10105aep"	852	1248	1364	890	1196.56	1190.15
"121"	"t10106aep"	1	6	5	5	1	2
"122"	"t10107aep"	0	0	0	0	0	0
"123"	"t10108aep"	0	0	0	0	0	0
"124"	"t10109aep"	0	0	0	0	0	0
"125"	"t1010aep"	3.04	16.39	3.44	3.65	6.95	8.03
"126"	"t10110aep"	1	2	1	8	0	1
"127"	"t10111aep"	0	0	1	0	0	0
"128"	"t10112aep"	17.2	9	5.09	12	9.52	10
"129"	"t10113aep"	0	2	5	3	3	5
"130"	"t10114aep"	0	0	0	0	0	0
"131"	"t10115aep"	4	6	2	1	1	3
"132"	"t10116aep"	0	0	1	0	2	1
"133"	"t10117aep"	0	0	0	0	1	0
"134"	"t10118aep"	0	0	0	0	0	0
"135"	"t10119aep"	47	29	30	52	39	43
"136"	"t1011aep"	2	2.57	2	9.38	4.2	0.99
"137"	"t10120aep"	0	0	0	0	0	0
"138"	"t10121aep"	9	12.88	1.99	8.87	13.95	17
"139"	"t10122aep"	1	1	2	5	1	0
"140"	"t10123aep"	1.07	2	5	3	2	1
"141"	"t10124aep"	0	0	0	0	0	0
"142"	"t10125aep"	0	0	0	0	0	0
"143"	"t10126aep"	78	105	85	120	96	90
"144"	"t10127aep"	5	11	4	7	7	8
"145"	"t10128aep"	0	0	0	0	0	0
"146"	"t10129aep"	0	0	0	0	0	0
"147"	"t1012aep"	1.63	1.59	4.32	3.99	6.05	3.26
"148"	"t10130aep"	0	0	0	0	0	0
"149"	"t10131aep"	0	0	0	0	0	0
"150"	"t10132aep"	0	0	0	0	0	0
"151"	"t10133aep"	0	0	0	0	0	0
"152"	"t10134aep"	0	0	0	0	0	0
"153"	"t10135aep"	886	1034	951	1098.48	1004	1176.13
"154"	"t10136aep"	337	384	296.85	483	380	342
"155"	"t10137aep"	452	457	413	680.99	498.04	507.01
"156"	"t10138aep"	1016.77	1275	1142.83	1248	1182.01	1151
"157"	"t10139aep"	549	643	624.99	738	783.99	617
"158"	"t1013aep"	30.83	44.31	34.1	69.12	36.52	66.29
"159"	"t10140aep"	19	27	22	17	23	28
"160"	"t10141aep"	6	7	6	14	7	7
"161"	"t10142aep"	2	3	2	5	2	1
"162"	"t10143aep"	2458	2627.87	2183	3194.03	2447.08	3010.17
"163"	"t10144aep"	805.03	630	566	1097	693	655
"164"	"t10145aep"	2207.71	3227.86	3327.04	2528.99	2954.99	3137.97
"165"	"t10146aep"	4	1	1	6	4	5
