# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"1" "t10000aep" FALSE FALSE FALSE FALSE
"2" "t10001aep" FALSE FALSE FALSE FALSE
"3" "t10002aep" FALSE FALSE FALSE FALSE
"4" "t10003aep" FALSE FALSE FALSE FALSE
"5" "t10004aep" FALSE FALSE FALSE FALSE
"6" "t10005aep" FALSE FALSE FALSE FALSE
"7" "t10006aep" FALSE FALSE FALSE FALSE
"8" "t10007aep" FALSE FALSE FALSE FALSE
"9" "t10008aep" FALSE FALSE FALSE FALSE
"10" "t10009aep" FALSE FALSE FALSE FALSE
"11" "t1000aep" FALSE FALSE FALSE FALSE
"12" "t10010aep" FALSE FALSE FALSE FALSE
"13" "t10011aep" FALSE FALSE FALSE FALSE
"14" "t10012aep" FALSE FALSE FALSE FALSE
"15" "t10013aep" FALSE FALSE FALSE FALSE
"16" "t10014aep" FALSE FALSE FALSE FALSE
"17" "t10015aep" FALSE FALSE FALSE FALSE
"18" "t10016aep" FALSE FALSE FALSE FALSE
"19" "t10017aep" TRUE FALSE FALSE FALSE
"20" "t10018aep" FALSE FALSE FALSE FALSE
"21" "t10019aep" FALSE FALSE FALSE FALSE
"22" "t1001aep" FALSE TRUE FALSE FALSE
"23" "t10020aep" FALSE FALSE FALSE FALSE
"24" "t10021aep" FALSE FALSE FALSE FALSE
"25" "t10022aep" FALSE FALSE FALSE FALSE
"26" "t10023aep" FALSE FALSE FALSE FALSE
"27" "t10024aep" FALSE FALSE FALSE FALSE
"28" "t10025aep" FALSE FALSE FALSE FALSE
"29" "t10026aep" FALSE FALSE FALSE FALSE
"30" "t10027aep" FALSE FALSE FALSE FALSE
"31" "t10028aep" FALSE FALSE FALSE FALSE
"32" "t10029aep" FALSE FALSE FALSE FALSE
"33" "t1002aep" FALSE TRUE FALSE FALSE
"34" "t10030aep" FALSE FALSE FALSE FALSE
"35" "t10031aep" FALSE FALSE FALSE FALSE
"36" "t10032aep" FALSE FALSE FALSE FALSE
"37" "t10033aep" FALSE FALSE FALSE FALSE
"38" "t10034aep" FALSE FALSE FALSE FALSE
"39" "t10035aep" FALSE FALSE FALSE FALSE
"40" "t10036aep" FALSE FALSE FALSE FALSE
"41" "t10037aep" FALSE FALSE FALSE FALSE
"42" "t10038aep" FALSE FALSE FALSE FALSE
"43" "t10039aep" FALSE FALSE FALSE FALSE
"44" "t1003aep" FALSE FALSE FALSE FALSE
"45" "t10040aep" FALSE FALSE FALSE FALSE
"46" "t10041aep" FALSE FALSE FALSE FALSE
"47" "t10042aep" FALSE FALSE FALSE FALSE
"48" "t10043aep" FALSE FALSE FALSE FALSE
"49" "t10044aep" FALSE FALSE FALSE FALSE
"50" "t10045aep" FALSE FALSE FALSE FALSE
"51" "t10046aep" FALSE FALSE FALSE FALSE
"52" "t10047aep" FALSE FALSE FALSE FALSE
"53" "t10048aep" FALSE FALSE FALSE FALSE
"54" "t10049aep" FALSE FALSE FALSE FALSE
"55" "t1004aep" FALSE FALSE FALSE FALSE
"56" "t10050aep" FALSE FALSE FALSE FALSE
"57" "t10051aep" FALSE FALSE FALSE FALSE
"58" "t10052aep" FALSE FALSE FALSE FALSE
"59" "t10053aep" FALSE FALSE FALSE FALSE
"60" "t10054aep" FALSE FALSE FALSE FALSE
"61" "t10055aep" FALSE FALSE FALSE FALSE
"62" "t10056aep" FALSE FALSE FALSE FALSE
"63" "t10057aep" FALSE FALSE FALSE FALSE
"64" "t10058aep" FALSE FALSE FALSE FALSE
"65" "t10059aep" FALSE FALSE FALSE FALSE
"66" "t1005aep" FALSE FALSE FALSE FALSE
"67" "t10060aep" FALSE FALSE FALSE FALSE
"68" "t10061aep" FALSE FALSE FALSE FALSE
"69" "t10062aep" FALSE FALSE FALSE FALSE
"70" "t10063aep" FALSE FALSE FALSE FALSE
"71" "t10064aep" FALSE FALSE FALSE FALSE
"72" "t10065aep" FALSE FALSE FALSE FALSE
"73" "t10066aep" FALSE FALSE FALSE FALSE
"74" "t10067aep" FALSE FALSE FALSE FALSE
"75" "t10068aep" FALSE FALSE FALSE FALSE
"76" "t10069aep" FALSE FALSE FALSE FALSE
"77" "t1006aep" FALSE FALSE TRUE FALSE
