# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# Ecto_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Int_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
#----------------------------------------------------------------------------
#
"ID"	"Ecto_Hyli_AS.isoforms.results"	"Ecto_Hyli_S.isoforms.results"	"Ecto_Hywi_AS.isoforms.results"	"Ecto_Hywi_S.isoforms.results"	"Endo_Hyli_AS.isoforms.results"	"Endo_Hyli_S.isoforms.results"	"Endo_Hywi_AS.isoforms.results"	"Endo_Hywi_S.isoforms.results"	"Int_Hyli_AS.isoforms.results"	"Int_Hyli_S.isoforms.results"	"Int_Hywi_AS.isoforms.results"	"Int_Hywi_S.isoforms.results"
"1"	"t33417aep"	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"t33421aep"	49.72	1	6	0	43.86	3	0	0	77.76	3	11	0
"3"	"t33261aep"	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"t33422aep"	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"t33418aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"t33413aep"	3186.4	0	8260.15	0	2872.25	0	6145.12	0	5037.43	0	8699.64	0
"7"	"t33419aep"	0	2	0	0	0	1	0	0	0	2	0	0
"8"	"t33420aep"	16.59	0	0	0	19.66	0	16.9	0	32.39	0	0	0
"9"	"t33414aep"	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"t33416aep"	0	0	0	0	0	0	0	0	0	0	0	1
"11"	"t33415aep"	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"t37650aep"	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"t37641aep"	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"t37644aep"	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"t37646aep"	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"t37643aep"	398.97	0	131	0	366.31	0	105	0	611.32	1	476	0
"17"	"t37648aep"	0	0	0	0	0	0	0	0	0	0	0	0
"18"	"t37647aep"	9.1	1	0	0	7.17	1	0	0	11.25	2	3	0
"19"	"t37649aep"	0	0	0	0	0	0	0	0	0	0	0	0
"20"	"t37640aep"	0	1.02	0	0	0	0	0	0	0	1.02	0	0
"21"	"t37645aep"	0	2	0	0	0	2	0	0	0	3	0	0
"22"	"t37642aep"	2.31	0	0	0	2.08	0	0	0	3.87	1	0	0
"23"	"t33266aep"	62.79	0	31.99	0	65.12	0	21.99	0	93.75	0	26.2	0
"24"	"t37639aep"	0	6	0	0	0	5	0	0	0	11	0	0
"25"	"t33262aep"	0	0	0	0	0	0	0	0	0	0	0	0
"26"	"t31627aep"	9.11	0	0	0	10.68	0	3.5	0	14.22	0	3.77	0
"27"	"t31624aep"	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"t31628aep"	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"t31631aep"	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"t33268aep"	0	0	0	0	0	0	0	0	0	0	0	0
"31"	"t31623aep"	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"t31617aep"	897.21	0	393.42	0	839.57	0	203.91	0	1442.04	0	1070.99	0
"33"	"t33265aep"	0	0	0	0	0	0	0	0	0	0	0	0
"34"	"t31619aep"	0	4	0	0	0	4	0	0	0	5.01	0	0
"35"	"t31625aep"	0	0	0	0	0	0	0	0	0	0	0	0
"36"	"t31632aep"	0	19.69	0	0	0	18.67	0	0	0	29.3	0	5.46
"37"	"t31621aep"	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"t31633aep"	0	0	0	0	0	0	0	0	0	0	0	0
"39"	"t31629aep"	0	0	0	0	0	0	0	0	0	0	0	0
