# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# WT_Hyli_AS - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
#
#----------------------------------------------------------------------------
#
ID	WT_Hyli_AS	WT_Hyli_S	WT_Hywi_AS	WT_Hywi_S	Colch_Hyli_AS	Colch_Hyli_S	Colch_Hywi_AS	Colch_Hywi_S
t33417aep	0	0	0	0	0	0	0	0
t33421aep	28.95	123.38	170.56	12	4	17	6.09	0
t33261aep	0	0	0	0	0	0	0	0
t33422aep	0	0	0	0	0	0	0	0
t33418aep	0	0	0	0	0	0	0	0
t33413aep	506.4	615.95	10680.68	1	98.62	14766.34	608.81	8
t33419aep	10.62	0	0	1.99	1.76	0	1	5
t33420aep	4.64	49	63	1	0	7	0	0
t33414aep	0	0	0	0	0	0	0	0
t33416aep	0	1	0	4	0	15	0	10
t33415aep	0	0	0	0	0	0	0	0
t37650aep	0	0	0	0	0	0	0	0
t37641aep	0	0	0	0	0	0	0	0
t37644aep	0	0	0	0	0	0	0	0
t37646aep	0	0	0	0	0	0	0	0
t37643aep	74.97	216	1289.39	1	0	9	40.9	0
t37648aep	0	0	0	0	0	0	0	0
t37647aep	6.19	52	19.67	7	0	0	0	0
t37649aep	0	0	0	3	0	36	0	0
t37640aep	0.59	1.25	0	2.07	0	0	0	0
t37645aep	0	4	0	6	0	0	0	3
t37642aep	0	11	2.53	3	15	19	352.86	74
t33266aep	7	33.81	224.53	0	0	36	244.54	0
t37639aep	0	3	0	20	0	0	0	0
t33262aep	0	0	0	0	0	0	0	0
t31627aep	40.82	825.84	8.84	0	68.72	0	43.55	2.31
t31624aep	0	0	0	0	0	0	0	0
t31628aep	0	1	0	2	0	35	0	2
t31631aep	0	0	0	0	0	0	0	0
t33268aep	0	0	0	0	0	0	0	0
t31623aep	0	0	0.97	0	0	0	33.89	0
t31617aep	506.68	6.35	5190.5	0	396.31	113.68	6657.66	6.97
t33265aep	0	0	0	0	0	0	0	0
t31619aep	0	4	0	9.99	0	1	0	126.96
t31625aep	0	0	0	0	0	0	0	0
t31632aep	0	1390.71	0	71.77	0	2200.15	0	855.96
t31621aep	0	0	0	0	0	0	0	0
t31633aep	0	0	0	0	0	0	0	0
t31629aep	0	0	0	0	0	0	0	2.69
t31626aep	0	0	0	0	0	0	0	0
t33263aep	0	3	0	48	0	4	0	215.99
t31630aep	0	0	0	0	0	0	0	0
t31620aep	0	0	0	0	0	0	0	0
t31622aep	0	0	0	0	0	0	0	0
t31618aep	0	9	0	6	0	0	0	3
t36046aep	0	4	0	0	0	0	0	0.96
t36049aep	0	0	0	0	0	0	0	0
t36041aep	0	0	0	0	0	0	0	0
t36045aep	2.26	0	9.97	0	0	0	10.21	0
t36050aep	0	2	0	1	0	2	2.01	0
t36044aep	0	1	1	0	0	0	0	0
t36040aep	1	0	0	3	22.92	0	4.17	0
t36042aep	1.49	0	0	7	0	0	0	6
t36043aep	17.01	7	24.78	0	150.23	8.99	50.44	0
t36048aep	0	0	0	0	0	0	0	0
t36047aep	0	0	0	0	0	0	0	2
t36970aep	0	9	0	7	0	3	0	0
t34456aep	0	24	0	36	0	1	0	106.99
t34453aep	0	2	0	0	0	0	0	1
t34459aep	0	0	0	0	0	0	0	0
t34451aep	0	2	0	6	0	4	0	7
t34452aep	0	0	0	0	0	0	0	0
t34448aep	1202.48	78.33	18845.34	13.17	160.89	6	1189.75	1
t33259aep	0	0	0	0	0	0	0	0
t34449aep	0	0	0	0	0	0	0	0
t33264aep	0	0	0	0	0	0	0	0
t33258aep	0	0	0	0	0	0	0	0
t34458aep	1.61	13.46	3.02	0	0	0	16.86	2
t34446aep	0	0	0	0	0	0	0	0
t34450aep	0	2	0	0	0	0	0	0
t34454aep	0	1	0	0	0	0	0	1.98
t34447aep	21.07	0	295.45	0	0	0	18.06	0
t34445aep	0	0	0	0	0	0	0	0
t34444aep	0	0	0	0	0	0	0	0
t34457aep	0	0	0	0	0	0	0	0
t34455aep	0	0	0	0	0	0	0	0
t36334aep	0	73.13	0	154.8	0	106.2	0	583.68
t36338aep	0	142	0	5	0	0	0	5
t36327aep	0	4	0	1	0	0	0	2
t36339aep	0	0	0	0	0	0	0	0
t36328aep	109.35	5557.9	5201.52	34	428.16	1080	1456.43	124
t36332aep	0	0	0.38	0	0	0	0	0
t36333aep	0	0	0	0	0	0	0	0
t36340aep	0	36	381.98	0	0	8	0.83	6.97
t36336aep	0	2	0	14	0	51	0	14
t36330aep	0	4.15	0	12	0	0	80.02	0
t36331aep	0.44	0	10.65	0	0	0	1.98	0
t36335aep	87.91	14	5.01	259	21.99	0	168.52	13
t36329aep	0	11	0	10	0	5.28	0	38
t33260aep	0	0	0	0	0	3	0	0
t36337aep	0	24.7	0	4	0	112.19	1	4
t35904aep	0	6	0	3	0	0	1	4
t35906aep	0	0	0	9	0	0	0	26
t35922aep	0	0	2	0	0	0	1.18	0
t35899aep	0	0	0	0	0	0	0	0
t35910aep	0	0	0	0	0	0	0	0
t35905aep	0	0	0	0	0	0	0	0
t35921aep	0	0	0	0	0	0	0	0
t35916aep	4.53	0	0	2	0	0	2	0
t35917aep	0	0	0	0	0	0	0	0
t35900aep	0	13	0	11	0	7	0	29
t35903aep	8.05	1	87.05	6	0	7	4.05	21
t35901aep	0	0.5	5.33	0	0	0	0	0
t35902aep	22.69	0.5	110.44	0	34.98	0	1324.18	0
