# small RNA Count Table  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-oriented mapping
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Endo_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hyli_S - raw Hyli sense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hywi_S - raw Hywi sense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hyli_S - raw Hyli sense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hywi_S - raw Hywi sense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Int_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hyli_S - raw Hyli sense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hywi_S - raw Hywi sense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Endo_Hyli_AS" "Endo_Hyli_S" "Endo_Hywi_AS" "Endo_Hywi_S" "Ecto_Hyli_AS" "Ecto_Hyli_S" "Ecto_Hywi_AS" "Ecto_Hywi_S" "Int_Hyli_AS" "Int_Hyli_S" "Int_Hywi_AS" "Int_Hywi_S"
"t10000aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10001aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10002aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10003aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10004aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10005aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10006aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10007aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10008aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10009aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1000aep" 0 0 0 0 0 2 0 0 0 0 0 0
"t10010aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10011aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10012aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10013aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10014aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10015aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10016aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10017aep" 0 4 0 4 0 8 0 8 0 0 0 0
"t10018aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10019aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1001aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10020aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10021aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10022aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10023aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10024aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10025aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10026aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10027aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10028aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10029aep" 0 0 0 0 0 0 0 0 0 0 0 0
