#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
...GO:0006952	BP	e	defense response              	26/441	753/38747	7.17e-07	3	26	0.0142	0.0138	0.0142	0.00426	t11117aep, t12198aep, t16424aep, t17178aep, t17750aep, t21013aep, t21682aep, t22133aep, t24687aep, t32280aep, t33020aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t7326aep, t7388aep, t8582aep, t8645aep, t8946aep
....GO:0051899	BP	e	membrane depolarization       	7/441	46/38747	8.61e-07	4	7	0.017	0.0166	0.017	0.00426	t17803aep, t18338aep, t24938aep, t25020aep, t526aep, t527aep, t9936aep
.......GO:2000051	BP	e	negative regulation of non-canonical Wnt signaling pathway	4/441	8/38747	1.12e-06	8	4	0.0221	0.0216	0.0221	0.00442	t29674aep, t30176aep, t33022aep, t8142aep
....GO:0048440	BP	e	carpel development            	3/441	3/38747	1.46e-06	5	3	0.029	0.0283	0.029	0.00471	t35573aep, t38672aep, t38673aep
...GO:0045087	BP	e	innate immune response        	14/441	258/38747	1.87e-06	4	14	0.037	0.036	0.037	0.00471	t11117aep, t17178aep, t22133aep, t24687aep, t34385aep, t34424aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t6387aep, t7326aep, t8946aep
.......GO:0031050	BP	e	dsRNA processing              	5/441	19/38747	1.9e-06	8	5	0.0377	0.0367	0.0377	0.00471	t30770aep, t35488aep, t38672aep, t38673aep, t5914aep
......GO:0042108	BP	e	positive regulation of cytokine biosynthetic process	5/441	20/38747	2.51e-06	7	5	0.0498	0.0485	0.0497	0.00474	t21682aep, t22133aep, t24687aep, t34424aep, t8645aep
....GO:0048489	BP	e	synaptic vesicle transport    	7/441	54/38747	2.63e-06	7	7	0.0521	0.0508	0.0521	0.00474	t17803aep, t18683aep, t24938aep, t31838aep, t37405aep, t38653aep, t9936aep
..GO:0006955	BP	e	immune response               	20/441	525/38747	3.26e-06	2	20	0.0646	0.063	0.0646	0.00515	t11117aep, t17178aep, t18960aep, t21682aep, t22133aep, t24687aep, t2654aep, t33020aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t6387aep, t7326aep, t8645aep, t8946aep
.....GO:0099003	BP	e	vesicle-mediated transport in synapse	9/441	105/38747	3.38e-06	5	9	0.067	0.0653	0.067	0.00515	t13546aep, t13547aep, t17803aep, t18683aep, t24938aep, t31838aep, t37405aep, t38653aep, t9936aep
...GO:0031047	BP	e	gene silencing by RNA         	8/441	83/38747	4.95e-06	8	8	0.0979	0.0954	0.0978	0.00658	t26740aep, t28521aep, t35488aep, t35573aep, t38672aep, t38673aep, t5914aep, t8582aep
